kicker_player_id,distance_band,is_made_sum,is_made_count,fg_percentage
00-0016919,<30,6,7,85.7
00-0016919,30-39,6,6,100.0
00-0016919,40-49,3,7,42.9
00-0016919,50-59,2,5,40.0
00-0016919,60+,0,0,
00-0020578,<30,1,1,100.0
00-0020578,30-39,3,4,75.0
00-0020578,40-49,3,3,100.0
00-0020578,50-59,2,6,33.3
00-0020578,60+,0,0,
00-0023252,<30,36,37,97.3
00-0023252,30-39,28,31,90.3
00-0023252,40-49,35,44,79.5
00-0023252,50-59,11,18,61.1
00-0023252,60+,0,0,
00-0023482,<30,4,5,80.0
00-0023482,30-39,6,8,75.0
00-0023482,40-49,2,3,66.7
00-0023482,50-59,0,0,
00-0023482,60+,0,0,
00-0023853,<30,34,34,100.0
00-0023853,30-39,36,40,90.0
00-0023853,40-49,28,39,71.8
00-0023853,50-59,34,44,77.3
00-0023853,60+,2,4,50.0
00-0024333,<30,6,7,85.7
00-0024333,30-39,7,8,87.5
00-0024333,40-49,7,13,53.8
00-0024333,50-59,7,8,87.5
00-0024333,60+,0,0,
00-0025565,<30,46,46,100.0
00-0025565,30-39,41,41,100.0
00-0025565,40-49,51,60,85.0
00-0025565,50-59,23,29,79.3
00-0025565,60+,0,0,
00-0025580,<30,29,29,100.0
00-0025580,30-39,37,42,88.1
00-0025580,40-49,22,29,75.9
00-0025580,50-59,10,16,62.5
00-0025580,60+,0,0,
00-0025944,<30,5,6,83.3
00-0025944,30-39,8,9,88.9
00-0025944,40-49,12,14,85.7
00-0025944,50-59,1,4,25.0
00-0025944,60+,0,1,0.0
00-0026858,<30,16,16,100.0
00-0026858,30-39,38,43,88.4
00-0026858,40-49,31,36,86.1
00-0026858,50-59,25,31,80.6
00-0026858,60+,0,0,
00-0026968,<30,35,36,97.2
00-0026968,30-39,30,32,93.8
00-0026968,40-49,28,38,73.7
00-0026968,50-59,4,12,33.3
00-0026968,60+,0,0,
00-0028660,<30,17,17,100.0
00-0028660,30-39,13,14,92.9
00-0028660,40-49,10,15,66.7
00-0028660,50-59,5,8,62.5
00-0028660,60+,0,0,
00-0028787,<30,4,4,100.0
00-0028787,30-39,1,1,100.0
00-0028787,40-49,7,8,87.5
00-0028787,50-59,1,1,100.0
00-0028787,60+,0,0,
00-0029421,<30,23,23,100.0
00-0029421,30-39,34,36,94.4
00-0029421,40-49,33,44,75.0
00-0029421,50-59,7,12,58.3
00-0029421,60+,0,0,
00-0029597,<30,53,53,100.0
00-0029597,30-39,54,55,98.2
00-0029597,40-49,56,66,84.8
00-0029597,50-59,27,40,67.5
00-0029597,60+,1,5,20.0
00-0029621,<30,35,35,100.0
00-0029621,30-39,58,63,92.1
00-0029621,40-49,47,62,75.8
00-0029621,50-59,21,37,56.8
00-0029621,60+,1,3,33.3
00-0029822,<30,35,37,94.6
00-0029822,30-39,42,46,91.3
00-0029822,40-49,50,55,90.9
00-0029822,50-59,34,51,66.7
00-0029822,60+,1,6,16.7
00-0030098,<30,34,36,94.4
00-0030098,30-39,41,44,93.2
00-0030098,40-49,50,64,78.1
00-0030098,50-59,18,28,64.3
00-0030098,60+,0,0,
00-0030332,<30,29,29,100.0
00-0030332,30-39,23,26,88.5
00-0030332,40-49,19,26,73.1
00-0030332,50-59,13,24,54.2
00-0030332,60+,3,3,100.0
00-0030850,<30,6,6,100.0
00-0030850,30-39,5,7,71.4
00-0030850,40-49,13,14,92.9
00-0030850,50-59,1,1,100.0
00-0030850,60+,0,0,
00-0031136,<30,48,48,100.0
00-0031136,30-39,44,46,95.7
00-0031136,40-49,48,59,81.4
00-0031136,50-59,36,41,87.8
00-0031136,60+,0,2,0.0
00-0031203,<30,36,36,100.0
00-0031203,30-39,39,41,95.1
00-0031203,40-49,41,51,80.4
00-0031203,50-59,22,29,75.9
00-0031203,60+,0,1,0.0
00-0031385,<30,1,2,50.0
00-0031385,30-39,3,4,75.0
00-0031385,40-49,2,5,40.0
00-0031385,50-59,2,2,100.0
00-0031385,60+,0,0,
00-0031492,<30,31,31,100.0
00-0031492,30-39,59,64,92.2
00-0031492,40-49,45,55,81.8
00-0031492,50-59,28,38,73.7
00-0031492,60+,1,3,33.3
00-0031543,<30,0,0,
00-0031543,30-39,2,3,66.7
00-0031543,40-49,4,5,80.0
