game_id,play_id,season,week,game_date,posteam,defteam,kicker_player_name,kicker_player_id,field_goal_result,kick_distance,score_differential,qtr,down,ydstogo,yardline_100,game_seconds_remaining,home_team,away_team,weather,temp,wind,roof,surface,stadium,stadium_id,season_type,wp,wpa,home_wp,away_wp,is_made,is_missed,is_blocked,distance_band,is_clutch,is_game_winning
2019_01_BAL_MIA,1296.0,2019,1,2019-09-08,MIA,BAL,J.Sanders,00-0034794,made,54.0,-28.0,2.0,4.0,19.0,36.0,2443.0,MIA,BAL,"Mostly Cloudy Temp: 91° F, Humidity: 56%, Wind: SSE 8 mph",91.0,8.0,outdoors,grass,Hard Rock Stadium,MIA00,REG,0.0052089724,0.0020068851,0.0052089724,0.99479103,1,0,0,50-59,0,0
2019_01_BAL_MIA,3146.0,2019,1,2019-09-08,BAL,MIA,J.Tucker,00-0029597,made,34.0,39.0,3.0,4.0,5.0,16.0,927.0,MIA,BAL,"Mostly Cloudy Temp: 91° F, Humidity: 56%, Wind: SSE 8 mph",91.0,8.0,outdoors,grass,Hard Rock Stadium,MIA00,REG,0.99979323,0.000117247495,0.00020676851,0.99979323,1,0,0,30-39,0,0
2019_01_BUF_NYJ,2161.0,2019,1,2019-09-08,NYJ,BUF,K.Vedvik,00-0034202,missed,45.0,6.0,2.0,4.0,8.0,27.0,1830.0,NYJ,BUF,"Mostly Sunny Temp: 77° F, Humidity: 46%, Wind: WNW 6 mph",77.0,6.0,outdoors,fieldturf,MetLife Stadium,NYC01,REG,0.8151483,-0.06895614,0.8151483,0.1848517,0,1,0,40-49,0,0
2019_01_BUF_NYJ,3105.0,2019,1,2019-09-08,BUF,NYJ,S.Hauschka,00-0025944,made,43.0,-16.0,3.0,4.0,12.0,25.0,1132.0,NYJ,BUF,"Mostly Sunny Temp: 77° F, Humidity: 46%, Wind: WNW 6 mph",77.0,6.0,outdoors,fieldturf,MetLife Stadium,NYC01,REG,0.05963842,-0.012121953,0.94036156,0.05963842,1,0,0,40-49,0,0
2019_01_CIN_SEA,736.0,2019,1,2019-09-08,CIN,SEA,R.Bullock,00-0029421,made,39.0,0.0,1.0,4.0,7.0,21.0,2872.0,SEA,CIN,"Cloudy Temp: 64° F, Humidity: 82%, Wind: S 7 mph",64.0,7.0,outdoors,fieldturf,Lumen Field,SEA00,REG,0.48077515,0.009443969,0.5192249,0.48077515,1,0,0,30-39,0,0
2019_01_CIN_SEA,2616.0,2019,1,2019-09-08,CIN,SEA,R.Bullock,00-0029421,missed,45.0,3.0,3.0,4.0,4.0,27.0,1363.0,SEA,CIN,"Cloudy Temp: 64° F, Humidity: 82%, Wind: S 7 mph",64.0,7.0,outdoors,fieldturf,Lumen Field,SEA00,REG,0.6054899,-0.05536166,0.3945101,0.6054899,0,1,0,40-49,0,0
2019_01_CIN_SEA,3584.0,2019,1,2019-09-08,CIN,SEA,R.Bullock,00-0029421,made,27.0,-4.0,4.0,4.0,8.0,8.0,423.0,SEA,CIN,"Cloudy Temp: 64° F, Humidity: 82%, Wind: S 7 mph",64.0,7.0,outdoors,fieldturf,Lumen Field,SEA00,REG,0.39659315,-0.11725998,0.60340685,0.39659315,1,0,0,<30,0,0
2019_01_DEN_OAK,1840.0,2019,1,2019-09-09,DEN,LV,B.McManus,00-0029822,missed,64.0,-14.0,2.0,4.0,20.0,46.0,1805.0,LV,DEN,"Breezy Temp: 68° F, Humidity: 66%, Wind: W 15 mph",68.0,15.0,outdoors,grass,Oakland-Alameda County Stadium,OAK00,REG,0.094717905,0.012052149,0.9052821,0.094717905,0,1,0,60+,0,0
2019_01_DEN_OAK,2197.0,2019,1,2019-09-09,DEN,LV,B.McManus,00-0029822,made,26.0,-14.0,3.0,4.0,8.0,8.0,1462.0,LV,DEN,"Breezy Temp: 68° F, Humidity: 66%, Wind: W 15 mph",68.0,15.0,outdoors,grass,Oakland-Alameda County Stadium,OAK00,REG,0.108252354,0.013297908,0.89174765,0.108252354,1,0,0,<30,0,0
2019_01_DEN_OAK,2583.0,2019,1,2019-09-09,DEN,LV,B.McManus,00-0029822,made,26.0,-11.0,3.0,4.0,5.0,8.0,1125.0,LV,DEN,"Breezy Temp: 68° F, Humidity: 66%, Wind: W 15 mph",68.0,15.0,outdoors,grass,Oakland-Alameda County Stadium,OAK00,REG,0.14865638,0.000504002,0.85134363,0.14865638,1,0,0,<30,0,0
2019_01_DEN_OAK,3157.0,2019,1,2019-09-09,DEN,LV,B.McManus,00-0029822,made,39.0,-15.0,4.0,4.0,9.0,21.0,523.0,LV,DEN,"Breezy Temp: 68° F, Humidity: 66%, Wind: W 15 mph",68.0,15.0,outdoors,grass,Oakland-Alameda County Stadium,OAK00,REG,0.029537888,-0.0021441896,0.9704621,0.029537888,1,0,0,30-39,0,0
2019_01_DEN_OAK,3305.0,2019,1,2019-09-09,LV,DEN,D.Carlson,00-0034161,made,29.0,12.0,4.0,4.0,3.0,11.0,281.0,LV,DEN,"Breezy Temp: 68° F, Humidity: 66%, Wind: W 15 mph",68.0,15.0,outdoors,grass,Oakland-Alameda County Stadium,OAK00,REG,0.9913761,-0.010247061,0.9913761,0.008623898,1,0,0,<30,0,0
2019_01_DET_ARI,1008.0,2019,1,2019-09-08,DET,ARI,M.Prater,00-0023853,made,55.0,0.0,2.0,4.0,8.0,37.0,2652.0,ARI,DET,"N/A Temp: ° F, Wind: mph",,,closed,grass,State Farm Stadium,PHO00,REG,0.4426665,0.05869651,0.55733347,0.4426665,1,0,0,50-59,0,0
2019_01_DET_ARI,2110.0,2019,1,2019-09-08,ARI,DET,Z.Gonzalez,00-0033862,made,20.0,-17.0,2.0,4.0,2.0,2.0,1882.0,ARI,DET,"N/A Temp: ° F, Wind: mph",,,closed,grass,State Farm Stadium,PHO00,REG,0.1291065,-0.025141045,0.1291065,0.8708935,1,0,0,<30,0,0
2019_01_DET_ARI,3103.0,2019,1,2019-09-08,ARI,DET,Z.Gonzalez,00-0033862,made,42.0,-14.0,3.0,4.0,4.0,24.0,1183.0,ARI,DET,"N/A Temp: ° F, Wind: mph",,,closed,grass,State Farm Stadium,PHO00,REG,0.13748443,-0.015778601,0.13748443,0.86251557,1,0,0,40-49,0,0
2019_01_DET_ARI,3759.0,2019,1,2019-09-08,ARI,DET,Z.Gonzalez,00-0033862,made,34.0,-18.0,4.0,4.0,9.0,16.0,673.0,ARI,DET,"N/A Temp: ° F, Wind: mph",,,closed,grass,State Farm Stadium,PHO00,REG,0.01556963,0.0032447549,0.01556963,0.9844304,1,0,0,30-39,0,0
2019_01_DET_ARI,5194.0,2019,1,2019-09-08,ARI,DET,Z.Gonzalez,00-0033862,made,28.0,0.0,5.0,4.0,10.0,10.0,441.0,ARI,DET,"N/A Temp: ° F, Wind: mph",,,closed,grass,State Farm Stadium,PHO00,REG,0.9745161,-0.50231296,0.9745161,0.025483897,1,0,0,<30,0,0
2019_01_DET_ARI,5448.0,2019,1,2019-09-08,DET,ARI,M.Prater,00-0023853,made,33.0,-3.0,5.0,4.0,7.0,15.0,232.0,ARI,DET,"N/A Temp: ° F, Wind: mph",,,closed,grass,State Farm Stadium,PHO00,REG,0.94490206,-0.32177356,0.05509794,0.94490206,1,0,0,30-39,0,0
2019_01_GB_CHI,625.0,2019,1,2019-09-05,CHI,GB,E.Pineiro,00-0034173,made,38.0,0.0,1.0,4.0,4.0,20.0,2954.0,CHI,GB,"Clear Temp: 65° F, Humidity: 69%, Wind: E 10 mph",65.0,10.0,outdoors,grass,Soldier Field,CHI98,REG,0.6557718,0.0015382767,0.6557718,0.3442282,1,0,0,30-39,0,0
2019_01_GB_CHI,3929.0,2019,1,2019-09-05,GB,CHI,M.Crosby,00-0025580,made,39.0,4.0,4.0,4.0,2.0,21.0,320.0,CHI,GB,"Clear Temp: 65° F, Humidity: 69%, Wind: E 10 mph",65.0,10.0,outdoors,grass,Soldier Field,CHI98,REG,0.8243349,-0.0033982694,0.17566508,0.8243349,1,0,0,30-39,0,0
2019_01_HOU_NO,1295.0,2019,1,2019-09-09,NO,HOU,W.Lutz,00-0032569,made,32.0,-7.0,2.0,4.0,9.0,14.0,2367.0,NO,HOU,"Partly Cloudy Temp: 91° F, Humidity: 59%, Wind: SE 9 mph",,,dome,astroturf,Caesars Superdome,NOR00,REG,0.39006114,0.054327726,0.39006114,0.60993886,1,0,0,30-39,0,0
2019_01_HOU_NO,2141.0,2019,1,2019-09-09,NO,HOU,W.Lutz,00-0032569,missed,56.0,-11.0,2.0,1.0,10.0,38.0,1804.0,NO,HOU,"Partly Cloudy Temp: 91° F, Humidity: 59%, Wind: SE 9 mph",,,dome,astroturf,Caesars Superdome,NOR00,REG,0.21614477,-0.015488446,0.21614477,0.7838552,0,1,0,50-59,0,0
2019_01_HOU_NO,4100.0,2019,1,2019-09-09,NO,HOU,W.Lutz,00-0032569,made,47.0,3.0,4.0,4.0,6.0,29.0,55.0,NO,HOU,"Partly Cloudy Temp: 91° F, Humidity: 59%, Wind: SE 9 mph",,,dome,astroturf,Caesars Superdome,NOR00,REG,0.94820744,-0.047534592,0.94820744,0.051792562,1,0,0,40-49,1,0
2019_01_HOU_NO,4409.0,2019,1,2019-09-09,NO,HOU,W.Lutz,00-0032569,made,58.0,-1.0,4.0,3.0,1.0,40.0,2.0,NO,HOU,"Partly Cloudy Temp: 91° F, Humidity: 59%, Wind: SE 9 mph",,,dome,astroturf,Caesars Superdome,NOR00,REG,0.48023957,0.51976043,0.48023957,0.51976043,1,0,0,50-59,1,1
2019_01_IND_LAC,1561.0,2019,1,2019-09-08,LAC,IND,T.Long,00-0031543,made,40.0,8.0,2.0,4.0,10.0,22.0,1866.0,LAC,IND,"Sunny Temp: 77° F, Humidity: 52%, Wind: SW 10 mph",77.0,10.0,outdoors,grass,ROKiT Field - Dignity Health Sports Park,LAX97,REG,0.85447437,-0.01895149,0.85447437,0.14552563,1,0,0,40-49,0,0
2019_01_IND_LAC,1725.0,2019,1,2019-09-08,IND,LAC,A.Vinatieri,00-0016919,missed,46.0,-11.0,2.0,1.0,10.0,28.0,1803.0,LAC,IND,"Sunny Temp: 77° F, Humidity: 52%, Wind: SW 10 mph",77.0,10.0,outdoors,grass,ROKiT Field - Dignity Health Sports Park,LAX97,REG,0.21554323,-0.05475858,0.7844568,0.21554323,0,1,0,40-49,0,0
2019_01_IND_LAC,1928.0,2019,1,2019-09-08,IND,LAC,A.Vinatieri,00-0016919,made,44.0,-11.0,3.0,4.0,7.0,26.0,1579.0,LAC,IND,"Sunny Temp: 77° F, Humidity: 52%, Wind: SW 10 mph",77.0,10.0,outdoors,grass,ROKiT Field - Dignity Health Sports Park,LAX97,REG,0.14805616,0.0076423734,0.85194385,0.14805616,1,0,0,40-49,0,0
2019_01_IND_LAC,2700.0,2019,1,2019-09-08,IND,LAC,A.Vinatieri,00-0016919,missed,29.0,-8.0,4.0,4.0,7.0,11.0,812.0,LAC,IND,"Sunny Temp: 77° F, Humidity: 52%, Wind: SW 10 mph",77.0,10.0,outdoors,grass,ROKiT Field - Dignity Health Sports Park,LAX97,REG,0.18262687,-0.067637414,0.81737316,0.18262687,0,1,0,<30,0,0
2019_01_KC_JAX,366.0,2019,1,2019-09-08,KC,JAX,H.Butker,00-0033303,made,28.0,7.0,1.0,4.0,3.0,9.0,3240.0,JAX,KC,"Clear Temp: 91° F, Humidity: 54%, Wind: WSW 6mph mph",91.0,6.0,outdoors,grass,EverBank Stadium,JAX00,REG,0.7350051,-0.027468026,0.26499492,0.7350051,1,0,0,<30,0,0
2019_01_KC_JAX,1066.0,2019,1,2019-09-08,JAX,KC,J.Lambo,00-0032087,made,37.0,-10.0,2.0,4.0,2.0,19.0,2499.0,JAX,KC,"Clear Temp: 91° F, Humidity: 54%, Wind: WSW 6mph mph",91.0,6.0,outdoors,grass,EverBank Stadium,JAX00,REG,0.30716956,0.02655381,0.30716956,0.69283044,1,0,0,30-39,0,0
2019_01_KC_JAX,1331.0,2019,1,2019-09-08,KC,JAX,H.Butker,00-0033303,made,25.0,7.0,2.0,4.0,7.0,7.0,2279.0,JAX,KC,"Clear Temp: 91° F, Humidity: 54%, Wind: WSW 6mph mph",91.0,6.0,outdoors,grass,EverBank Stadium,JAX00,REG,0.73502535,-0.0054985285,0.26497465,0.73502535,1,0,0,<30,0,0
2019_01_KC_JAX,1490.0,2019,1,2019-09-08,JAX,KC,J.Lambo,00-0032087,made,23.0,-10.0,2.0,4.0,5.0,5.0,2065.0,JAX,KC,"Clear Temp: 91° F, Humidity: 54%, Wind: WSW 6mph mph",91.0,6.0,outdoors,grass,EverBank Stadium,JAX00,REG,0.29284555,0.0044823885,0.29284555,0.70715445,1,0,0,<30,0,0
2019_01_KC_JAX,1820.0,2019,1,2019-09-08,KC,JAX,H.Butker,00-0033303,made,46.0,7.0,2.0,4.0,7.0,28.0,1828.0,JAX,KC,"Clear Temp: 91° F, Humidity: 54%, Wind: WSW 6mph mph",91.0,6.0,outdoors,grass,EverBank Stadium,JAX00,REG,0.7340542,0.022789642,0.2659458,0.7340542,1,0,0,40-49,0,0
2019_01_KC_JAX,3570.0,2019,1,2019-09-08,KC,JAX,H.Butker,00-0033303,made,35.0,18.0,4.0,4.0,15.0,17.0,218.0,JAX,KC,"Clear Temp: 91° F, Humidity: 54%, Wind: WSW 6mph mph",91.0,6.0,outdoors,grass,EverBank Stadium,JAX00,REG,0.997985,0.00054193346,0.0020149946,0.997985,1,0,0,30-39,0,0
2019_01_LA_CAR,836.0,2019,1,2019-09-08,CAR,LA,J.Slye,00-0035192,missed,53.0,0.0,1.0,4.0,13.0,35.0,2747.0,CAR,LA,"Sunny Temp: 87° F, Humidity: 53%, Wind: NNE 3 mph",87.0,3.0,outdoors,grass,Bank of America Stadium,CAR00,REG,0.522257,-0.05166334,0.522257,0.47774303,0,1,0,50-59,0,0
2019_01_LA_CAR,1027.0,2019,1,2019-09-08,LA,CAR,G.Zuerlein,00-0029621,made,49.0,0.0,2.0,4.0,8.0,31.0,2628.0,CAR,LA,"Sunny Temp: 87° F, Humidity: 53%, Wind: NNE 3 mph",87.0,3.0,outdoors,grass,Bank of America Stadium,CAR00,REG,0.5142991,0.061556906,0.4857009,0.5142991,1,0,0,40-49,0,0
2019_01_LA_CAR,1902.0,2019,1,2019-09-08,LA,CAR,G.Zuerlein,00-0029621,made,56.0,10.0,2.0,4.0,6.0,38.0,1867.0,CAR,LA,"Sunny Temp: 87° F, Humidity: 53%, Wind: NNE 3 mph",87.0,3.0,outdoors,grass,Bank of America Stadium,CAR00,REG,0.81599975,0.041502222,0.18400025,0.81599975,1,0,0,50-59,0,0
2019_01_LA_CAR,2179.0,2019,1,2019-09-08,CAR,LA,J.Slye,00-0035192,made,46.0,-13.0,2.0,2.0,10.0,28.0,1802.0,CAR,LA,"Sunny Temp: 87° F, Humidity: 53%, Wind: NNE 3 mph",87.0,3.0,outdoors,grass,Bank of America Stadium,CAR00,REG,0.14876398,0.046241313,0.14876398,0.851236,1,0,0,40-49,0,0
