kicker_player_id,kicker_player_name,is_made_sum,is_made_count,kick_distance_mean,kick_distance_max,is_clutch_sum,is_game_winning_sum,fg_percentage
00-0016919,A.Vinatieri,17,25,39.04,57.0,2,1,68.0
00-0020578,M.Bryant,9,14,43.286,53.0,0,0,64.3
00-0023252,R.Gould,110,130,37.323,57.0,11,6,84.6
00-0023482,M.Nugent,12,16,33.0,43.0,0,0,75.0
00-0023853,M.Prater,134,161,41.087,68.0,8,4,83.2
00-0024333,S.Gostkowski,27,36,40.361,55.0,4,1,75.0
00-0025565,N.Folk,161,176,38.341,56.0,5,4,91.5
00-0025580,M.Crosby,98,116,37.405,57.0,10,5,84.5
00-0025944,S.Hauschka,26,34,40.294,62.0,2,0,76.5
00-0026858,G.Gano,110,126,41.111,58.0,10,1,87.3
00-0026968,R.Succop,97,118,36.669,56.0,4,1,82.2
00-0028660,D.Bailey,45,54,37.296,55.0,2,1,83.3
00-0028787,K.Forbath,13,14,38.857,50.0,0,0,92.9
00-0029421,R.Bullock,97,115,38.983,58.0,5,3,84.3
00-0029597,J.Tucker,191,219,39.306,67.0,16,7,87.2
00-0029621,G.Zuerlein,162,200,39.85,60.0,17,6,81.0
00-0029822,B.McManus,162,195,41.328,70.0,13,7,83.1
00-0030098,D.Hopkins,143,172,39.227,58.0,14,6,83.1
00-0030332,B.Maher,87,108,39.491,63.0,3,1,80.6
00-0030850,C.Parkey,25,28,38.214,51.0,0,0,89.3
00-0031136,C.Boswell,176,196,39.194,62.0,9,1,89.8
00-0031203,C.Santos,138,158,38.968,65.0,10,6,87.3
00-0031385,S.Castillo,8,13,41.231,55.0,0,0,61.5
00-0031492,J.Myers,164,191,39.979,62.0,10,4,85.9
00-0031543,T.Long,7,9,41.778,51.0,0,0,77.8
00-0032065,B.Pinion,0,1,60.0,60.0,0,0,0.0
00-0032087,J.Lambo,38,42,37.714,59.0,2,1,90.5
00-0032569,W.Lutz,143,170,38.524,61.0,14,5,84.1
00-0032669,T.Bertolet,3,3,26.667,28.0,0,0,100.0
00-0032726,K.Fairbairn,164,190,39.2,61.0,5,1,86.3
00-0032835,J.Brown,1,2,31.5,32.0,0,0,50.0
00-0032870,A.Rosas,22,33,38.485,58.0,0,0,66.7
00-0033138,S.Ficken,32,42,40.19,55.0,3,1,76.2
00-0033303,H.Butker,190,214,37.911,65.0,17,6,88.8
00-0033702,Y.Koo,176,202,38.649,63.0,15,8,87.1
00-0033787,J.Elliott,162,188,38.441,61.0,8,0,86.2
00-0033854,D.Ogunbowale,1,1,29.0,29.0,0,0,100.0
00-0033862,Z.Gonzalez,79,94,38.713,57.0,6,2,84.0
00-0034084,M.Badgley,86,106,38.179,58.0,11,4,81.1
00-0034161,D.Carlson,190,215,37.251,58.0,12,4,88.4
00-0034173,E.Pineiro,111,126,37.992,59.0,9,6,88.1
00-0034202,K.Vedvik,0,1,45.0,45.0,0,0,0.0
00-0034450,G.Joseph,101,123,38.724,61.0,11,7,82.1
00-0034648,R.Santoso,4,5,30.8,48.0,1,0,80.0
00-0034794,J.Sanders,172,204,40.284,59.0,11,4,84.3
00-0034909,T.Vizcaino,11,12,36.083,47.0,2,0,91.7
00-0034913,C.Blewitt,2,5,46.2,52.0,0,0,40.0
00-0034921,E.Fry,5,6,34.333,44.0,0,0,83.3
00-0034941,M.Wishnowsky,1,2,33.5,41.0,0,0,50.0
00-0035042,J.Gillan,1,2,50.5,61.0,0,0,50.0
00-0035145,A.Seibert,72,86,38.767,55.0,3,1,83.7
00-0035189,M.Wright,55,63,38.524,59.0,3,2,87.3
00-0035192,J.Slye,147,180,39.6,68.0,11,3,81.7
00-0035269,M.Gay,177,207,39.502,61.0,9,2,85.5
00-0035358,C.McLaughlin,132,155,39.961,62.0,9,1,85.2
00-0035758,L.Hajrullahu,4,5,33.4,47.0,0,0,80.0
00-0035849,R.Blankenship,48,58,36.483,56.0,2,1,82.8
00-0036162,T.Bass,149,178,38.084,61.0,14,5,83.7
00-0036168,D.Eberle,3,4,44.25,52.0,0,0,75.0
00-0036436,S.Sloman,10,13,35.692,53.0,1,1,76.9
00-0036459,T.Russolino,0,1,51.0,51.0,0,0,0.0
00-0036469,M.Ammendola,24,35,36.314,58.0,3,1,68.6
00-0036515,C.Naggar,1,1,37.0,37.0,0,0,100.0
